ELCODE_BCD,sp_code_calc
ABPBK01010,dumecaro
ABPBK03010,mimupoly
ABPBK04010,oreomont
ABPBK06010,toxorufu
ABPBM02050,anthrube
ABPBM02060,anthspra
ABPBN01010,bombgarr
ABPBN01020,bombcedr
ABPBR01035,laniludoludo
ABPBR01037,laniludomigr
ABPBR01040,lanibore
ABPBT01010,sturvulg
ABPBW01020,viregris
ABPBW01110,virebell
ABPBW01160,viresoli
ABPBW01170,vireflav
ABPBW01210,viregilv
ABPBW01230,virephil
ABPBW01240,vireoliv
ABPBX01010,vermbach
ABPBX01020,vermcyan
ABPBX01030,vermchry
ABPBX01040,vermpere
ABPBX01050,vermcela
ABPBX01060,oreorufi
ABPBX02010,paruamer
ABPBX03010,dendpete
ABPBX03020,dendpens
ABPBX03030,setomagn
ABPBX03040,dendtigr
ABPBX03050,dendcaer
ABPBX03060,dendcoro
ABPBX03070,dendnigr
ABPBX03100,dendvire
ABPBX03120,setofusc
ABPBX03130,denddomi
ABPBX03170,dendpinu
ABPBX03180,setokirt
ABPBX03190,denddisc
ABPBX03210,dendpalm
ABPBX03220,dendcast
ABPBX03230,dendstri
ABPBX03240,setoceru
ABPBX05010,mniovari
ABPBX06010,setoruti
ABPBX07010,protcitr
ABPBX08010,helmverm
ABPBX09010,limnswai
ABPBX10010,seiuauro
ABPBX10020,parknove
ABPBX10030,seiumota
ABPBX11010,oporform
ABPBX11020,oporagil
ABPBX11030,geotphil
ABPBX12010,geottric
ABPBX16010,wilscitr
ABPBX16020,wilspusi
ABPBX16030,cardcana
ABPBX24010,ictevire
ABPBX45030,pirarubr
ABPBX45040,piraoliv
ABPBX45050,piraludo
ABPBX60010,cardcard
ABPBX61030,pheuludo
ABPBX61040,pheumela
ABPBX64010,guircaer
ABPBX64020,passamoe
ABPBX64030,passcyan
ABPBX64060,passciri
ABPBX65010,spizamer
ABPBX74010,pipichlo
ABPBX74030,pipieryt
ABPBX94010,spizarbo
ABPBX94020,spizpass
ABPBX94030,spizpall
ABPBX94050,spizpusi
ABPBX95010,pooegram
ABPBX96010,chongram
ABPBX97010,amphbili
ABPBX98010,calamela
ABPBX99010,passsand
ABPBXA0020,ammosava
ABPBXA0040,ammoleco
ABPBXA0050,ammocaud
ABPBXA0060,ammomari
ABPBXA0070,ammonels
ABPBXA2010,passilia
ABPBXA3010,melomelo
ABPBXA3020,melolinc
ABPBXA3030,melogeor
ABPBXA3031,melogeorgeor
ABPBXA3033,melogeornigr
ABPBXA4020,zonoalbi
ABPBXA4040,zonoleuc
ABPBXA4050,zonoquer
ABPBXA5020,junchyem
ABPBXA6020,calclapp
ABPBXA6040,calcorna
ABPBXA8010,plecniva
ABPBXA9010,dolioryz
ABPBXB0010,agelphoe
ABPBXB2020,sturmagn
ABPBXB3010,xantxant
ABPBXB5010,euphcaro
ABPBXB5020,euphcyan
ABPBXB6060,quismajo
ABPBXB6070,quisquis
ABPBXB7010,molobona
ABPBXB7030,moloater
ABPBXB9070,ictespur
ABPBXB9190,ictegalb
ABPBY03010,pinienuc
ABPBY04020,haempurp
ABPBY04040,carpmexi
ABPBY05020,loxileuc
ABPBY05050,loxicurv
ABPBY06010,cardflam
ABPBY06020,cardhorn
ABPBY06030,cardpinu
ABPBY06110,cardtris
ABPBY09020,coccvesp
ABPBZ01010,passdome
AFBAA01010,ichtbdel
AFBAA01050,ichtgree
AFBAA02010,lampaepy
